dotone,root,sixteen
78.3,80.6,77.3
29.9,66.7,57.7
1.2,0.2,2.6
2.7,2.6,3
2,2,2
-1,-1,-1
0.2,0.1,0.1
0.5,0.9,0.6
0.5,0,0
13.4,10.5,13.8
17.2,17.3,15.2
6.9,7.9,5.6
13.4,16.6,15.2
39,28,29.8
2.1,2.3,2
-1,-1,-1
3,3,2.9
0,0,0.8
3.6,4.4,3.8
33.6,31.8,30.9
14.9,14,13.2
1.8,1.5,1.7
0,0.2,0.1
6.9,4.8,6.5
4.8,4.4,4.6
0.5,0,-0.1
47.1,50,50
-0.8,-11.6,-1.6
0,0,0
16,13.9,13.2
7,9.5,8.3
1.9,2.1,2.6
3.7,3.8,4.5
6.6,1.6,6.4
51,70,71
29,28,25
18,44,25
20,18,20
21,19,20
19,23,18
20,19,19
21,19,18
19,19,20
19,19,19
-10,-10,-10
1.5,0.5,0
0,0,0
1,1,1
10.1,11.2,11.8
-19.8,-18.9,-16.4
0,0,0.1
4.5,1.9,2.8
0.3,0.1,0.3
0.6,1.8,0.6
2.5,2.3,2.2
0,24,24
1.2,1,1
20,24.6,26
20,21.5,16.5
1,1,1
30.4,40.3,60.2
969,556.6,544.5
11.1,10.5,9.4
0.2,0.3,0.2
0,0.3,0.3
0,0,0
0,0,0
-2.1,-5.9,-7.4
0.4,1,0.7
2.9,1.7,1.7
1,1,1
13.6,11.4,12.2
217,188,184
301,168,158
173,241,186
164,261,166
162,194,187
178,219,173
170,207,237
266,199,261
159,200,169
209,290,158
92.4,80.3,42.6
26.2,18.6,21.4
22,25.3,20.3
41.3,38.2,38.1
0.8,0.8,1
0.1,0,0
1,0.8,0.8
0.7,0.8,0.4
0.5,0.7,0.6
2,2.1,2
-200,-400,-100
1,1,1
0.9,0.2,1
0.2,0,0.1
550.4,647.4,451.1
8,8,7.3
94,90.8,114.9
